source,title,url,published_utc,summary
www.prnewswire.com,Airlines & Aviation,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100023+00:00,
www.prnewswire.com,Automotive,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/automotive-list/,2025-09-16T18:36:57.100058+00:00,
www.prnewswire.com,Automotive,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100085+00:00,
www.prnewswire.com,Maritime & Shipbuilding,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/maritime-shipbuilding-list/,2025-09-16T18:36:57.100119+00:00,
www.prnewswire.com,Maritime & Shipbuilding,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100146+00:00,
www.prnewswire.com,Railroads and Intermodal Transportation,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/railroads-and-intermodal-transportation-list/,2025-09-16T18:36:57.100180+00:00,
www.prnewswire.com,Railroads and Intermodal Transportation,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100207+00:00,
www.prnewswire.com,Supply Chain/Logistics,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/supply-chain-logistics-list/,2025-09-16T18:36:57.100241+00:00,
www.prnewswire.com,Supply Chain/Logistics,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100269+00:00,
www.prnewswire.com,"Transportation, Trucking & Railroad",https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/transportation-trucking-railroad-list/,2025-09-16T18:36:57.100308+00:00,
www.prnewswire.com,"Transportation, Trucking & Railroad",https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100336+00:00,
www.prnewswire.com,Trucking and Road Transportation,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/trucking-and-road-transportation-list/,2025-09-16T18:36:57.100389+00:00,
www.prnewswire.com,Trucking and Road Transportation,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100422+00:00,
www.prnewswire.com,Auto & Transportation Overview,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/,2025-09-16T18:36:57.100461+00:00,
www.prnewswire.com,Auto & Transportation Overview,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100490+00:00,
www.prnewswire.com,View All Auto & Transportation,https://www.prnewswire.com/news-releases/automotive-transportation-latest-news/automotive-transportation-latest-news-list/,2025-09-16T18:36:57.100542+00:00,
www.prnewswire.com,View All Auto & Transportation,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100574+00:00,
www.prnewswire.com,Business Technology,https://www.prnewswire.com/news-releases/business-technology-latest-news/,2025-09-16T18:36:57.100612+00:00,
www.prnewswire.com,Business Technology,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100640+00:00,
www.prnewswire.com,All Business Technology,https://www.prnewswire.com/news-releases/business-technology-latest-news/business-technology-latest-news-list/,2025-09-16T18:36:57.100676+00:00,
www.prnewswire.com,All Business Technology,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100704+00:00,
www.prnewswire.com,Blockchain,https://www.prnewswire.com/news-releases/business-technology-latest-news/blockchain-list/,2025-09-16T18:36:57.100738+00:00,
www.prnewswire.com,Blockchain,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100769+00:00,
www.prnewswire.com,Broadcast Tech,https://www.prnewswire.com/news-releases/business-technology-latest-news/broadcast-tech-list/,2025-09-16T18:36:57.100805+00:00,
www.prnewswire.com,Broadcast Tech,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100833+00:00,
www.prnewswire.com,Computer & Electronics,https://www.prnewswire.com/news-releases/business-technology-latest-news/computer-electronics-list/,2025-09-16T18:36:57.100867+00:00,
www.prnewswire.com,Computer & Electronics,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100898+00:00,
www.prnewswire.com,Computer Hardware,https://www.prnewswire.com/news-releases/business-technology-latest-news/computer-hardware-list/,2025-09-16T18:36:57.100933+00:00,
www.prnewswire.com,Computer Hardware,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.100960+00:00,
www.prnewswire.com,Computer Software,https://www.prnewswire.com/news-releases/business-technology-latest-news/computer-software-list/,2025-09-16T18:36:57.100996+00:00,
www.prnewswire.com,Computer Software,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101024+00:00,
www.prnewswire.com,Data Analytics,https://www.prnewswire.com/news-releases/business-technology-latest-news/data-analytics-list/,2025-09-16T18:36:57.101059+00:00,
www.prnewswire.com,Data Analytics,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101088+00:00,
www.prnewswire.com,Electronic Commerce,https://www.prnewswire.com/news-releases/business-technology-latest-news/electronic-commerce-list/,2025-09-16T18:36:57.101122+00:00,
www.prnewswire.com,Electronic Commerce,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101149+00:00,
www.prnewswire.com,Electronic Components,https://www.prnewswire.com/news-releases/business-technology-latest-news/electronic-components-list/,2025-09-16T18:36:57.101187+00:00,
www.prnewswire.com,Electronic Components,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101216+00:00,
www.prnewswire.com,Electronic Design Automation,https://www.prnewswire.com/news-releases/business-technology-latest-news/electronic-design-automation-list/,2025-09-16T18:36:57.101250+00:00,
www.prnewswire.com,Electronic Design Automation,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101278+00:00,
www.prnewswire.com,Financial Technology,https://www.prnewswire.com/news-releases/business-technology-latest-news/financial-technology-list/,2025-09-16T18:36:57.101312+00:00,
www.prnewswire.com,Financial Technology,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101339+00:00,
www.prnewswire.com,High Tech Security,https://www.prnewswire.com/news-releases/business-technology-latest-news/high-tech-security-list/,2025-09-16T18:36:57.101385+00:00,
www.prnewswire.com,High Tech Security,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101417+00:00,
www.prnewswire.com,Internet Technology,https://www.prnewswire.com/news-releases/business-technology-latest-news/internet-technology-list/,2025-09-16T18:36:57.101452+00:00,
www.prnewswire.com,Internet Technology,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101480+00:00,
www.prnewswire.com,Nanotechnology,https://www.prnewswire.com/news-releases/business-technology-latest-news/nanotechnology-list/,2025-09-16T18:36:57.101513+00:00,
www.prnewswire.com,Nanotechnology,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101541+00:00,
www.prnewswire.com,Peripherals,https://www.prnewswire.com/news-releases/business-technology-latest-news/peripherals-list/,2025-09-16T18:36:57.101584+00:00,
www.prnewswire.com,Peripherals,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101611+00:00,
www.prnewswire.com,Semiconductors,https://www.prnewswire.com/news-releases/business-technology-latest-news/semiconductors-list/,2025-09-16T18:36:57.101645+00:00,
www.prnewswire.com,Semiconductors,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101672+00:00,
www.prnewswire.com,Business Technology Overview,https://www.prnewswire.com/news-releases/business-technology-latest-news/,2025-09-16T18:36:57.101708+00:00,
www.prnewswire.com,Business Technology Overview,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101736+00:00,
www.prnewswire.com,View All Business Technology,https://www.prnewswire.com/news-releases/business-technology-latest-news/business-technology-latest-news-list/,2025-09-16T18:36:57.101773+00:00,
www.prnewswire.com,View All Business Technology,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101800+00:00,
www.prnewswire.com,Entertain­ment & Media,https://www.prnewswire.com/news-releases/entertainment-media-latest-news/,2025-09-16T18:36:57.101835+00:00,
www.prnewswire.com,Entertain­ment & Media,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101863+00:00,
www.prnewswire.com,All Entertain­ment & Media,https://www.prnewswire.com/news-releases/entertainment-media-latest-news/entertainment-media-latest-news-list/,2025-09-16T18:36:57.101900+00:00,
www.prnewswire.com,All Entertain­ment & Media,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101928+00:00,
www.prnewswire.com,Advertising,https://www.prnewswire.com/news-releases/entertainment-media-latest-news/advertising-list/,2025-09-16T18:36:57.101965+00:00,
www.prnewswire.com,Advertising,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.101993+00:00,
www.prnewswire.com,Entertainment,https://www.prnewswire.com/news-releases/entertainment-media-latest-news/entertainment-list/,2025-09-16T18:36:57.102036+00:00,
www.prnewswire.com,Entertainment,https://www.prnewswire.com/news/norfolk-southern-corporation/,2025-09-16T18:36:57.102067+00:00,
