title,url,summary,published_utc,source,_dt
"Aug 24, 2025, 20:00 ET
			
			
				Record $4.5 million raised for cardiac care as CPKC Ambassador Brooke Henderson claims her second CPKC Women's Open victory
			
			
				
				
			
	
MISSISSAUGA, ON, Aug. 24, 2025 /PRNewswire/ - The 2025 CPKC Women's Open attracted enthusiastic crowds and showcased unforgettable performances,...",https://www.prnewswire.com/news-releases/record-4-5-million-raised-for-cardiac-care-as-cpkc-ambassador-brooke-henderson-claims-her-second-cpkc-womens-open-victory-302537244.html,,2025-09-16T18:48:37.829736+00:00,prnewswire.com,2025-09-16 18:48:37.829736
"Aug 26, 2025, 08:45 ET
			
			
				CPKC: Further rail consolidation not necessary
			
			
				
				
			
	
CALGARY, AB, Aug. 26, 2025 /PRNewswire/ - Canadian Pacific Kansas City (TSX: CP) (NYSE: CP) (CPKC) said today that the company is not interested in...",https://www.prnewswire.com/news-releases/cpkc-further-rail-consolidation-not-necessary-302538902.html,,2025-09-16T18:48:37.829721+00:00,prnewswire.com,2025-09-16 18:48:37.829721
"Sep 15, 2025, 09:00 ET
			
			
				CPKC joins forces to promote rail safety across North America
			
			
				
				
			
	
Rail Safety Week (Canada), See Tracks? Think Train® Week (U.S.) runs from Sept. 15 to 21, 2025 CALGARY, AB, Sept. 15, 2025 /PRNewswire/ - Canadian...",https://www.prnewswire.com/news-releases/cpkc-joins-forces-to-promote-rail-safety-across-north-america-302555474.html,,2025-09-16T18:48:37.829689+00:00,prnewswire.com,2025-09-16 18:48:37.829689
"Oct 24, 2024, 13:00 ET
			
			
				Norfolk Southern's new Customer Advisory Board builds on customer-centric focus
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) is uniting a diverse group of industry leaders and stakeholders to form its Customer Advisory Board. The new ...",https://www.prnewswire.com/news-releases/norfolk-southerns-new-customer-advisory-board-builds-on-customer-centric-focus-302285745.html,,2025-09-16T18:48:30.402576+00:00,prnewswire.com,2025-09-16 18:48:30.402576
"Nov 04, 2024, 10:10 ET
			
			
				Norfolk Southern Names Joe Carpenter Vice President Law
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) today announced the appointment of Joseph H. Carpenter IV as Vice President Law. Carpenter brings more than...",https://www.prnewswire.com/news-releases/norfolk-southern-names-joe-carpenter-vice-president-law-302295450.html,,2025-09-16T18:48:30.402567+00:00,prnewswire.com,2025-09-16 18:48:30.402567
"Nov 14, 2024, 09:00 ET
			
			
				Norfolk Southern to Add New Independent Director to Board via Cooperation Agreement with Shareholder Ancora
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) (""Norfolk Southern"" or the ""Company"") today announced that it has entered into a cooperation agreement with...",https://www.prnewswire.com/news-releases/norfolk-southern-to-add-new-independent-director-to-board-via-cooperation-agreement-with-shareholder-ancora-302305664.html,,2025-09-16T18:48:30.402558+00:00,prnewswire.com,2025-09-16 18:48:30.402558
"Nov 18, 2024, 09:45 ET
			
			
				Norfolk Southern to present at Stephens Annual Investment Conference
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) Executive Vice President and Chief Marketing Officer Ed Elkins and Executive Vice President and Chief...",https://www.prnewswire.com/news-releases/norfolk-southern-to-present-at-stephens-annual-investment-conference-302308558.html,,2025-09-16T18:48:30.402549+00:00,prnewswire.com,2025-09-16 18:48:30.402549
"Dec 09, 2024, 13:00 ET
			
			
				Norfolk Southern Names Ann A. Adams Chief Human Resources Officer
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) has named Ann A. Adams as Chief Human Resources Officer, with responsibility for human resources and labor...",https://www.prnewswire.com/news-releases/norfolk-southern-names-ann-a-adams-chief-human-resources-officer-302326468.html,,2025-09-16T18:48:30.402540+00:00,prnewswire.com,2025-09-16 18:48:30.402540
"Jan 02, 2025, 09:30 ET
			
			
				Norfolk Southern to announce fourth quarter 2024 earnings results Jan. 29
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) will announce its fourth quarter 2024 financial results during a live conference call and internet webcast...",https://www.prnewswire.com/news-releases/norfolk-southern-to-announce-fourth-quarter-2024-earnings-results-jan-29-302341253.html,,2025-09-16T18:48:30.402531+00:00,prnewswire.com,2025-09-16 18:48:30.402531
"Jan 27, 2025, 16:42 ET
			
			
				Norfolk Southern names Lori J. Ryerkerk to board of directors
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) has appointed Lori J. Ryerkerk, former chairman, chief executive officer, and president of Celanese Corp.,...",https://www.prnewswire.com/news-releases/norfolk-southern-names-lori-j-ryerkerk-to-board-of-directors-302361274.html,,2025-09-16T18:48:30.402521+00:00,prnewswire.com,2025-09-16 18:48:30.402521
